PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations
40066677,EntoSieve: Automated Size-Sorting of Insect Bulk Samples to Aid Accurate Megabarcoding and Metabarcoding.,2025 Mar 11,,
40066588,Prevalence and impact of antisperm antibodies on semen quality and male reproductive health aspects: A 10-years retrospective study.,2025 Mar 11,,
40066481,3D Soft Liquid Metal Electrodes for High-Resolution and Long-Term Electromyography in Muscle Trauma Assessment.,2025 Mar 11,,
40066478,Metaproteomic Profiling of the Secretome of a Granule-forming Ca. Accumulibacter Enrichment.,2025 Mar 11,,
40066374,Bioactive and degradable collagen-based three-dimensional scaffold encapsulated with adipose mesenchymal stem cells-derived exosomes improved diabetic wound healing.,2025 Mar,,
40066361,There and turn back again: the application of phage serine integrases in eukaryotic systems.,2025,,
40066347,Constitutive overexpression of Qui-Quine Starch gene simultaneously improves starch and protein content in bioengineered cassava (Manihot esculenta Crantz).,2024,,
40066288,"Allelic frequency of msp2 and glurp genes in Plasmodium falciparum isolates from Awka, Anambra, Nigeria.",2025,,
40066271,Effects of copper and copper oxide nanoparticles on cyanobacterium Nostoc linckia: an experimental study.,2025,,
40066265,Biodegradation of polyhydroxyalkanoates: current state and future prospects.,2025,,
